Query,Dataset,Prima Esecuzione (ms),Media Esecuzioni Successive (ms),Confidence Interval (95%)
Query 1,100%,2045.8909999579191,14.165956635649005,"(14.03, 14.31)"
Query 2,100%,16.234499868005514,15.491723331312338,"(15.27, 15.72)"
Query 3,100%,5.45769976451993,4.481663337598245,"(4.17, 4.79)"
Query 4,100%,4.540600348263979,4.783463400478165,"(4.64, 4.93)"
Query 1,75%,2032.7808996662498,4.147333310296138,"(4.09, 4.21)"
Query 2,75%,4.5220996253192425,4.732550044233601,"(4.59, 4.88)"
Query 3,75%,4.267300013452768,3.5744633370389542,"(3.43, 3.72)"
Query 4,75%,3.4360000863671303,4.0294399950653315,"(3.85, 4.21)"
Query 1,50%,2035.071900114417,3.1528266612440348,"(3.09, 3.22)"
Query 2,50%,3.2501001842319965,3.281769948080182,"(3.24, 3.33)"
Query 3,50%,3.343400079756975,3.0872766549388566,"(2.99, 3.19)"
Query 4,50%,3.525900188833475,2.742360004534324,"(2.54, 2.95)"
Query 1,25%,2042.872800026089,2.314936680098375,"(2.22, 2.41)"
Query 2,25%,2.115200273692608,2.0956966560333967,"(2.06, 2.14)"
Query 3,25%,1.8187002278864384,1.7068333458155394,"(1.68, 1.74)"
Query 4,25%,1.746799796819687,2.7164966333657503,"(2.52, 2.92)"
