Query,Database,First Execution Time (ms),Average Execution Time (ms),Confidence Interval (95%)
Query 1,25%,13.218600070104003,6.423796759918332,"(5.95215943558671, 6.895434084249954)"
Query 1,50%,6.06740009970963,7.449867722067621,"(6.6499050479412904, 8.249830396193952)"
Query 1,75%,11.271599913015962,11.31694516046874,"(11.230327823667675, 11.403562497269803)"
Query 1,100%,12.32540002092719,11.961625806326348,"(11.36916361290771, 12.554087999744985)"
Query 2,25%,25.511099956929684,29.296303205492517,"(27.35885030508921, 31.233756105895825)"
Query 2,50%,52.34510009177029,61.10258389174217,"(56.39211686823996, 65.81305091524439)"
Query 2,75%,77.27359980344772,80.41175162690061,"(77.00592091861887, 83.81758233518235)"
Query 2,100%,98.37370016612113,109.33903227710435,"(104.83977064536488, 113.83829390884382)"
Query 3,25%,18.307100050151348,12.550354830079502,"(12.144689532645181, 12.956020127513824)"
Query 3,50%,23.721100063994527,22.080712884123766,"(20.54355791428869, 23.617867853958842)"
Query 3,75%,30.384300043806434,32.155516144308834,"(30.377862276021283, 33.933170012596385)"
Query 3,100%,42.36670001409948,43.00507100959939,"(40.98892548317396, 45.02121653602482)"
Query 4,25%,36.16079990752041,36.89195806040399,"(35.31655279794615, 38.46736332286182)"
Query 4,50%,63.10010002925992,69.50683547784725,"(66.506487519258, 72.50718343643649)"
Query 4,75%,91.41290001571178,106.87534193388156,"(100.20182858294417, 113.54885528481894)"
Query 4,100%,153.7409999873489,132.73927417673892,"(128.0167292052899, 137.46181914818794)"
